i,similitud,distancia,texto_origen,texto_destino,texto_origen_n,texto_destino_n
0,completa,0,Capítulo I,Capítulo I,10,10
1,completa,0,BASES DE LA INSTITUCIONALIDAD,BASES DE LA INSTITUCIONALIDAD,29,29
2,parecido,9,Artículo 1º.- Los hombres nacen libres e iguales en dignidad y derechos.,Artículo 1°.- Las personas nacen libres e iguales en dignidad y derechos.,72,73
3,completa,0,La familia es el núcleo fundamental de la sociedad.,La familia es el núcleo fundamental de la sociedad.,51,51
4,completa,0,El Estado reconoce y ampara a los grupos intermedios a través de los cuales se organiza y estructura la sociedad y les garantiza la adecuada autonomía para cumplir sus propios fines específicos.,El Estado reconoce y ampara a los grupos intermedios a través de los cuales se organiza y estructura la sociedad y les garantiza la adecuada autonomía para cumplir sus propios fines específicos.,194,194
5,completa,0,"El Estado está al servicio de la persona humana y su finalidad es promover el bien común, para lo cual debe contribuir a crear las condiciones sociales que permitan a todos y a cada uno de los integrantes de la comunidad nacional su mayor realización espiritual y material posible, con pleno respeto a los derechos y garantías que esta Constitución establece.","El Estado está al servicio de la persona humana y su finalidad es promover el bien común, para lo cual debe contribuir a crear las condiciones sociales que permitan a todos y a cada uno de los integrantes de la comunidad nacional su mayor realización espiritual y material posible, con pleno respeto a los derechos y garantías que esta Constitución establece.",359,359
6,completa,0,"Es deber del Estado resguardar la seguridad nacional, dar protección a la población y a la familia, propender al fortalecimiento de ésta, promover la integración armónica de todos los sectores de la Nación y asegurar el derecho de las personas a participar con igualdad de oportunidades en la vida nacional.","Es deber del Estado resguardar la seguridad nacional, dar protección a la población y a la familia, propender al fortalecimiento de ésta, promover la integración armónica de todos los sectores de la Nación y asegurar el derecho de las personas a participar con igualdad de oportunidades en la vida nacional.",307,307
7,completa,0,"Artículo 2º.- Son emblemas nacionales la bandera nacional, el escudo de armas de la República y el himno nacional.","Artículo 2º.- Son emblemas nacionales la bandera nacional, el escudo de armas de la República y el himno nacional.",114,114
8,no_hay_parecido,111,Artículo 3º.- El Estado de Chile es unitario. Su territorio se divide en regiones. La Ley propenderá a que su administración sea funcional y territorialmente descentralizada.,Artículo 55.- El Congreso Nacional se instalará e iniciará su período de sesiones en la forma que determine su ley orgánica constitucional.,174,139
9,completa,0,Artículo 4º.- Chile es una república democrática.,Artículo 4º.- Chile es una república democrática.,49,49
10,completa,0,"Artículo 5º.- La soberanía reside esencialmente en la Nación. Su ejercicio se realiza por el pueblo a través del plebiscito y de elecciones periódicas y, también, por las autoridades que esta Constitución establece. Ningún sector del pueblo ni individuo alguno puede atribuirse su ejercicio.","Artículo 5º.- La soberanía reside esencialmente en la Nación. Su ejercicio se realiza por el pueblo a través del plebiscito y de elecciones periódicas y, también, por las autoridades que esta Constitución establece. Ningún sector del pueblo ni individuo alguno puede atribuirse su ejercicio.",291,291
11,no_hay_parecido,83,El ejercicio de la soberanía reconoce como limitación el respeto a los derechos esenciales que emanan de la naturaleza humana.,Es deber de la comunidad contribuir al desarrollo y perfeccionamiento de la educación;,126,86
12,no_hay_parecido,53,Artículo 6º.- Los órganos del Estado deben someter su acción a la Constitución y a las normas dictadas conforme a ella.,"Artículo 6º.- Los órganos del Estado deben someter su acción a la Constitución y a las normas dictadas conforme a ella, y garantizar el orden institucional de la República.",119,172
13,completa,0,"Los preceptos de esta Constitución obligan tanto a los titulares o integrantes de dichos órganos como a toda persona, institución o grupo.","Los preceptos de esta Constitución obligan tanto a los titulares o integrantes de dichos órganos como a toda persona, institución o grupo.",138,138
14,completa,0,La infracción de esta norma generará las responsabilidades y sanciones que determine la ley.,La infracción de esta norma generará las responsabilidades y sanciones que determine la ley.,92,92
15,completa,0,"Artículo 7º.- Los órganos del Estado actúan válidamente previa investidura regular de sus integrantes, dentro de su competencia y en la forma que prescriba la ley.","Artículo 7º.- Los órganos del Estado actúan válidamente previa investidura regular de sus integrantes, dentro de su competencia y en la forma que prescriba la ley.",163,163
16,completa,0,"Ninguna magistratura, ninguna persona ni grupo de personas pueden atribuirse, ni aun a pretexto de circunstancias extraordinarias, otra autoridad o derechos que los que expresamente se les hayan conferido en virtud de la Constitución o las leyes.","Ninguna magistratura, ninguna persona ni grupo de personas pueden atribuirse, ni aun a pretexto de circunstancias extraordinarias, otra autoridad o derechos que los que expresamente se les hayan conferido en virtud de la Constitución o las leyes.",246,246
17,completa,0,Todo acto en contravención a este artículo es nulo y originará las responsabilidades y sanciones que la ley señale.,Todo acto en contravención a este artículo es nulo y originará las responsabilidades y sanciones que la ley señale.,115,115
18,no_hay_parecido,202,"Artículo 8º.- Todo acto de persona o grupo destinado a propagar doctrinas que atenten contra la familia, propugnen la violencia o una concepción de la sociedad, del Estado o del orden jurídico, de carácter totalitario o fundada en la lucha de clases, es ilícito y contrario al ordenamiento institucional de la República.","Artículo 6º.- Los órganos del Estado deben someter su acción a la Constitución y a las normas dictadas conforme a ella, y garantizar el orden institucional de la República.",320,172
19,no_hay_parecido,107,"Las organizaciones y los movimientos o partidos políticos que por sus fines o por la actividad de sus adherentes tiendan a esos objetivos, son inconstitucionales.","En todo caso, se entenderá siempre convocado de pleno derecho para conocer de la declaración de estados de excepción constitucional.",162,132
